,basy_zyzd_jbbm_for_str_4,basy_yydj,basy_ssjczbm1_for_str_4,HAOCAI-4-4-E,JCJY-4-4-E,YP-4-4-E,ZFY-4-4-E,记录条数-4-4
3630,C22.,4,,393.3825925925926,2884.4333333333334,3588.9474074074074,11526.493333333334,27
3634,C22.,4,39.7,426.80212328767124,1732.999589041096,3912.2573972602736,23631.075958904108,146
3638,C22.,4,50.2,756.6800000000001,4623.5034375,4347.656875,30900.5771875,32
3644,C22.,4,88.4,2857.21,2630.222222222222,5236.810555555556,16798.478888888887,36
3647,C22.,5,,406.8368686868687,3549.8525757575762,3809.8257575757575,10422.88398989899,198
3654,C22.,5,39.7,7914.492456140351,4259.896842105263,5282.270175438597,26278.101228070176,114
3661,C22.,5,50.1,1530.9078723404255,5075.375531914893,3654.7693617021278,14111.672978723404,47
3662,C22.,5,50.2,8855.282558139535,7736.132325581395,5604.336279069767,33744.03302325581,43
3663,C22.,5,50.3,10569.030888888889,9583.237777777778,9782.146888888888,52151.61466666667,45
3671,C22.,5,54.9,613.6840845070423,3376.980281690141,5394.1532394366195,13469.042253521127,71
3687,C22.,5,99.2,2559.8352777777777,3786.9213888888894,5154.426666666666,16788.10638888889,36
3691,C22.,6,,482.1730627871363,3950.965712098009,4116.813644716693,11425.089923430322,653
3695,C22.,6,17.9,930.1124137931034,4243.329655172413,6812.772068965518,15922.942413793104,29
3704,C22.,6,38.9,2889.2564583333333,6153.108333333334,8440.277291666667,25399.423125,48
3706,C22.,6,39.7,7393.004759581881,4368.441121951219,5288.744243902439,27746.070334494772,1435
3713,C22.,6,44.1,1331.9724390243903,4436.835365853659,4710.958780487805,14796.738048780488,41
3722,C22.,6,50.1,2087.7417748917746,6601.823463203463,4315.474588744589,17490.29935064935,231
3723,C22.,6,50.2,10139.673101673101,7176.845353925354,7271.347709137709,42130.190913770915,777
3724,C22.,6,50.3,15129.936514161222,10020.986928104576,11266.168126361656,60316.53278867102,459
3726,C22.,6,50.9,5012.34731707317,7505.238292682927,7051.522926829269,28126.129268292683,41
3734,C22.,6,51.9,3613.5091228070173,6179.794561403509,5957.568947368421,20497.97842105263,57
3741,C22.,6,54.9,896.635296803653,5142.534703196347,6991.748173515982,18473.326712328766,219
3752,C22.,6,88.4,9691.484444444444,4109.763015873016,5639.930317460317,28368.73634920635,63
3770,C22.,6,99.2,5740.463529411764,4537.7801604278075,5078.652352941176,23115.87449197861,187
3805,C23.,6,,922.3475757575758,3926.5739393939393,5637.832121212121,14147.607575757575,33
3817,C23.,6,50.2,10611.188095238096,7680.37738095238,9348.400476190476,51506.13428571429,42
3821,C23.,6,51.2,8840.60838235294,9252.839558823529,10951.491176470588,43587.27014705882,68
3877,C24.,5,,379.398125,3216.3575,4955.4821875,12126.3515625,32
3906,C24.,6,,598.283,4046.9201249999996,5627.161375000001,14062.73675,80
3921,C24.,6,50.1,2108.8038461538463,7493.214358974358,7140.789743589743,22987.03230769231,39
3923,C24.,6,50.3,18091.54348837209,13846.029069767443,15765.434418604653,81510.06395348837,43
3931,C24.,6,51.6,17731.933684210526,12045.208157894736,17164.535526315787,70122.54684210526,38
3933,C24.,6,51.8,9904.913076923076,6360.683846153846,4441.9773076923075,26728.73576923077,26
3934,C24.,6,51.9,4293.233859649123,5659.269649122807,5682.292105263158,19884.37649122807,114
3939,C24.,6,52.7,25070.925950413224,15515.367190082645,24300.13181818182,99066.01033057852,121
3944,C24.,6,54.9,804.9055999999999,3879.324,8852.4448,20290.258400000002,25
3980,C25.,1,92.2,3758.5991304347826,2363.113043478261,27853.088695652175,40541.60956521739,23
3982,C25.,1,99.2,7163.152352941176,2638.823529411765,6685.22294117647,25446.066470588237,34
3990,C25.,3,,553.1560714285714,3703.613214285714,5920.827857142857,13862.207142857142,28
4017,C25.,5,,373.5755357142857,3471.195357142857,4083.880892857143,10655.609464285715,56
4051,C25.,6,,657.9255721393035,4160.578208955224,4403.046915422886,12439.770199004975,201
4060,C25.,6,38.9,1655.6511111111113,4651.423611111111,9793.4875,22977.942222222224,36
4077,C25.,6,50.1,1856.312,6228.795142857143,3684.575142857143,16197.14342857143,35
4084,C25.,6,51.3,19002.396315789476,11423.170263157894,18456.589473684213,70517.04921052633,38
4087,C25.,6,51.8,9804.204444444445,7605.395185185185,6476.487407407408,31614.280370370372,27
4088,C25.,6,51.9,5421.045576923077,6695.842692307692,6780.169038461538,24886.082884615385,52
4090,C25.,6,52.1,4015.82796875,7127.337265625,5680.01375,25666.75609375,128
4092,C25.,6,52.5,16465.40543478261,11003.323586956521,15197.760434782609,67417.84336956522,92
4094,C25.,6,52.7,21750.564512195124,15362.307682926828,23791.94256097561,96272.0055487805,164
4099,C25.,6,54.9,1530.862608695652,5963.443695652173,7778.535434782609,22525.716956521737,46
4118,C25.,6,99.2,2096.6535714285715,4916.971428571429,6330.741607142858,18362.757142857143,56
4235,C32.,6,30.0,1520.5917582417583,3818.9942857142855,2019.9713186813187,13912.714835164836,91
4236,C32.,6,30.1,3957.480810810811,7520.447027027027,4439.963513513513,35746.73567567568,37
4237,C32.,6,30.2,3459.001985815603,6343.23829787234,4734.830354609929,29026.151489361702,141
4238,C32.,6,30.3,6324.347777777778,9154.433333333332,8977.160740740741,43320.154814814814,27
4239,C32.,6,30.4,5902.554324324325,8604.405945945946,7338.7816216216215,45880.31027027027,37
4242,C32.,6,31.4,577.9203571428571,3856.7967857142858,1139.1710714285714,8040.073571428571,28
4266,C34.,1,,548.1993442622951,1543.3450819672132,4088.304016393443,12724.853688524589,122
4269,C34.,1,33.2,3411.698125,1548.60625,2880.9640625,13312.0840625,32
4271,C34.,1,34.0,1679.8109090909093,2191.7227272727273,7348.196363636364,16782.89590909091,22
4273,C34.,1,38.9,362.1609090909091,1056.8181818181818,5444.625909090909,8781.197727272727,44
4287,C34.,1,92.2,3561.8512499999997,1838.025,32110.670250000003,44655.938500000004,40
4291,C34.,1,99.2,6818.489834710744,2609.72479338843,5471.677272727273,23520.19603305785,121
4293,C34.,2,,737.0934146341464,2832.3760975609757,6796.409268292684,14709.890731707317,41
4308,C34.,3,,547.7208583690988,2879.051330472103,5547.778154506438,13267.343261802574,233
4313,C34.,3,32.2,15922.586666666666,4996.176190476191,4170.726190476191,34003.200000000004,21
4315,C34.,3,32.4,21680.6496,7181.0055999999995,5772.234,47125.1428,25
4317,C34.,3,33.2,912.1314201183432,4067.552426035503,2835.6962130177517,10598.275029585799,169
4319,C34.,3,34.0,828.66,4003.2534782608695,3461.776086956522,11740.963695652174,46
4321,C34.,3,34.9,908.072037037037,3963.0888888888885,3991.7025925925927,13071.447592592593,54
4323,C34.,3,38.9,1058.5248,3947.8356,10236.070800000001,21292.2504,25
4353,C34.,3,99.2,1057.5333333333333,3563.052380952381,5534.459047619048,13914.250952380953,21
4355,C34.,4,,483.52833333333336,3274.4166666666665,4688.926944444444,11938.962500000001,36
4362,C34.,4,32.2,3957.2729090909093,5990.405636363636,3317.605090909091,45559.42363636363,55
4363,C34.,4,32.3,2628.86305785124,8470.635041322314,4267.24611570248,57131.47801652893,121
4364,C34.,4,32.4,9901.35492063492,6550.281587301587,4593.829206349206,48881.135079365085,63
